# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	9DC12424	К сожалению, ЮРИСТКА отправил(а) вам отказ со словами "Извини, кажется, мы друг другу не подходим."
	A742BD1A	К сожалению, ПОЛКОВНИК КАДДЛЗ отправил(а) вам отказ со словами "Солдат должен быть беспощадным, а ты не такой. Удачного дня!"
	97E92103	К сожалению, NIKO_GAY отправил(а) вам отказ со словами ЗАГЛУШКА!!!
	9BAA2CA1	Уважаемый пользователь,
	AA2AC586	К сожалению, БЫСТРЫЙРУПЕРТ отправил(а) вам отказ со словами "М-м, ты обаятельный, но все-таки нет."
	B7ED5E6F	К сожалению, ТРОЙ ХАРДЕР отправил(а) вам отказ со словами "Ты что, педик?"
	B826E59A	Уважаемый пользователь,
	B274598D	ЗАГЛУШКА
	B291DA70	Уважаемый пользователь,
	7C347205	ЗАГЛУШКА
	7C385910	ЗАГЛУШКА
	6D80C3A0	К сожалению, ИЗ РОССИИ БЕЗ ЛЮБВИ отправил(а) вам отказ со словами "Для меня ты слишком молодой и здоровый."
	6F1AD37F	Уважаемый пользователь,
	7F0EF6AE	К сожалению, мы больше ничем не можем Вам помочь.
	8E1A90DA	ЗАГЛУШКА
	8F0EFEBD	ЗАГЛУШКА
	85DE0109	Уважаемый пользователь,
	8C0380A9	К сожалению, СЛИШКОМСТРАСТНАЯ отправил(а) вам отказ со словами "Да щас!"
	BB73E818	К сожалению, ТОМФРАНЦУЗ отправил(а) вам отказ со словами ЗАГЛУШКА!!!
	E443BED7	К сожалению, ЧЕРНЫЙ МАТТЕ отправил(а) вам отказ со словами "То есть мы познакомимся через Интернет и "соединимся"? Это все вранье, и ты увяз в нем по уши!"
	EE7AD345	К сожалению, МАРК ТЕННИНЧ отправил(а) вам отказ со словами "Подожди некоторое время, а потом попробуй еще раз..."
	DEB12E96	К сожалению, ПОЛКОВНИК КАДДЛЗ отправил(а) вам отказ со словами "Солдат должен быть беспощадным, а ты не такой. Удачного дня!"
	E1642B69	К сожалению, МИСС ВСЕПОНЯТНО отправил(а) вам отказ со словами "Извини, кажется, я еще не готова пойти на свидание".
	EF04D69C	К сожалению, мы больше ничем не можем Вам помочь.
	FCB8E212	К сожалению, ЛИЗАЛКА отправил(а) вам отказ со словами "Лучше не надо."
	FD5F6956	Не отчаивайтесь! Человек, которого вы ищете, тоже ищет вас!
	F076C98E	К сожалению, ЮжБох отправил(а) вам отказ со словами "Вряд ли ты сможешь справиться с аппетитами Кармен."
	F1385718	ЗАГЛУШКА
	C9FA089C	ЗАГЛУШКА
	CAE606A8	К сожалению, СУШИЦИД отправил(а) вам отказ со словами "Фу, нет."
	BE89EDEC	К сожалению, ПРИНЦЕССА РЕНИ отправил(а) вам отказ со словами "Извини, но мы не подходим друг другу."
	C2FCFA9E	ЗАГЛУШКА
	CDBC8CAD	К сожалению, NIKO_STRAIGHT отправил(а) вам отказ со словами ЗАГЛУШКА!!!
	DCCC322B	К сожалению, мы больше ничем не можем Вам помочь.
	DD0CAEC1	ЗАГЛУШКА
	D1F51A3A	К сожалению, НИКМЕЙСТЕР отправил(а) вам отказ со словами "Извини, если расстрою, но у меня сейчас нет времени на свидания."
	D38A1FA7	К сожалению, мы больше ничем не можем Вам помочь.
	6CFE528D	К сожалению, мы больше ничем не можем Вам помочь.
	26D84257	ЗАГЛУШКА
	27A5C59A	К сожалению, ОСКАР УАЙЛД отправил(а) вам отказ со словами "Я ищу ДЕВУШКУ! Боже, сколько можно?"
	24763A1F	К сожалению, МАЛЫШВИЛЛИ отправил(а) вам отказ со словами "Не твоя весовая категория, приятель. Опусти планку!"
	2590C16C	К сожалению, NIKO_GAY отправил(а) вам отказ со словами ЗАГЛУШКА!!!
	2A9CCDCB	К сожалению, мы больше ничем не можем Вам помочь.
	31AC51EF	НИКОЛИБЕРТИ, наши компьютеры вычислили, что вместе с ЮРИСТКОЙ вы образуете идеальную пару <a href="www.love-meet.net">LoveMeet</a>! Ваши общие интересы: компьютеры и одиночество. Если вы захотите сменить свои сексуальные предпочтения, ПОЛКОВНИК КАДДЛЗ также образует с вами идеальную пару LoveMeet! Любовь, дружба и секс без обязательств близки как никогда.
	33CE5040	К сожалению, ПЕРЧАТКИ отправил(а) вам отказ со словами "Мы слишком разные, извини".
	2B983FD4	К сожалению, СЕКРЕТНАЯ ЛЮБОВЬ отправил(а) вам отказ со словами "К сожалению, отправитель письма посчитал, что вы будете неинтересны друг другу. (Ваше письмо перехвачено ФРБ, приятного дня.)"
	2C3B4DE4	ЗАГЛУШКА
	09A60893	Уважаемый пользователь,
	0E0915B0	ЗАГЛУШКА
	00F07314	К сожалению, ТРОЙ ХАРДЕР отправил(а) вам отказ со словами "Ты что, педик?"
	0148F7E1	Уважаемый пользователь,
	10B497B4	К сожалению, FRENCHTOM отправил(а) вам отказ со словами ЗАГЛУШКА!!!
